pulocationid,diff_lm,diff_rf,total_trips,average_diff_lm,average_diff_rf
1,-224.57446202712475,395.12306288142526,605,-0.37119745789607395,0.6530959717048351
2,-11.429662856805564,-13.059403267041445,6,-1.904943809467594,-2.176567211173574
3,25.926071733138517,-24.069164669267952,105,0.2469149688870335,-0.22923013970731382
4,-818.0622833689512,-699.4430473803246,9006,-0.09083525242826462,-0.07766411807465297
5,-1150.679819942156,-117.04095474900372,112,-10.27392696376925,-1.045008524544676
6,-64.16209687658602,-9.505144247004132,7,-9.166013839512289,-1.357877749572019
7,-667.7489416121105,-994.3527838572237,2675,-0.24962577256527493,-0.37172066686251354
8,-9.934902648513706,-51.357854775641435,51,-0.19480201271595501,-1.0070167603066948
9,49.11767797047285,-24.037083604255464,59,0.8325030164486923,-0.407408196682296
10,711.5990682932511,205.82454202412828,2792,0.2548707264660641,0.07371939184245282
11,-171.68831487044858,-36.411056223422,87,-1.9734289065568802,-0.41851788762554026
12,198.82864304436558,20.072723384274724,3368,0.05903463273288764,0.005959834734048315
13,2673.8327585476213,614.7094482622906,54115,0.04941019603709917,0.011359317162751374
14,-633.6024121371427,-168.6170916211597,430,-1.4734939817142854,-0.3921327712119993
15,-69.32744969370397,-57.82720677172032,64,-1.0832414014641245,-0.90355010580813
16,-95.16641138151337,-49.42713827182501,90,-1.057404570905704,-0.5491904252425001
17,284.5855408609513,-170.65844707368495,529,0.5379688863155979,-0.32260576006367664
18,-77.58638956809253,82.67924780711029,173,-0.4484762402779915,0.47791472720872996
19,-5.2940801679540925,-3.261293857612848,113,-0.04685026697304507,-0.028861007589494232
20,-45.46143677952367,-29.467682599395914,106,-0.4288814790521101,-0.27799700565467844
21,-17.84622304123825,51.901424429622665,168,-0.10622751810260864,0.3089370501763254
22,-75.63171901316669,-53.00279032418688,196,-0.38587611741411576,-0.27042239961319836
23,-1179.4451434904415,-86.61443112768903,262,-4.501699020955884,-0.33058943178507266
24,-2286.121644922862,-2270.0408258812417,28293,-0.0808016698449391,-0.08023330243810277
25,932.0369481855054,-329.3783471923038,3227,0.288824588839636,-0.10206952190650877
26,66.62481885118372,-28.80084265163479,187,0.35628245374964557,-0.1540152013456406
27,-13.242626801087209,0.0,2,-6.621313400543604,0.0
28,430.06149631028535,-53.61793674236342,553,0.7776880584272791,-0.0969582942899881
29,-238.73769395285066,3.679813012645635,163,-1.464648429158593,0.022575539954881197
30,9.554603532290084,8.882001477034413,2,4.777301766145042,4.441000738517206
31,3.0809405015499065,-20.869393909687698,49,0.06287633676632462,-0.4259059981568918
32,94.15672747921265,-6.322177902742126,118,0.7979383684679038,-0.05357777883679768
33,634.3298234449533,327.71088232422017,3983,0.15925930791989787,0.08227739952905352
34,-9.790945681439666,-21.53595624183164,147,-0.06660507266285487,-0.14650310368592953
35,276.5453342695635,-69.12259687767529,383,0.7220504811215758,-0.18047675424980494
36,-27.281759015083164,-98.60686745222021,327,-0.08343045570361823,-0.301550053370704
37,-3.8800861502285118,-157.8778514143705,496,-0.007822754335138129,-0.3183021197870373
38,-378.65772971836884,-64.39006473017395,211,-1.7945863967695206,-0.30516618355532676
39,-692.6935395373185,-110.40989849058033,593,-1.1681172673479234,-0.18618869897231086
40,-284.34050691085264,-273.96021819203895,995,-0.2857693536792489,-0.27533690270556677
41,-8563.920581882949,-8973.04127013637,21170,-0.4045309674956518,-0.4238564605638342
42,-2572.935318235751,-3142.9509439660224,4877,-0.52756516674918,-0.6444434988652906
43,4697.273668499804,5914.416354918393,158976,0.02954706162250783,0.03720320271561992
44,-670.245999373204,-8.022223126937002,114,-5.879350871694772,-0.07037037830646492
45,368.10698513802083,-127.28846681949766,9922,0.03710007913102407,-0.012828912197087044
46,-2.84694585184707,-6.81877025535998,22,-0.12940662962941227,-0.30994410251636273
47,-15.281187891761741,-52.20145576553511,177,-0.0863343948687104,-0.2949234789013283
48,-4775.281472545606,-1962.763511090994,272770,-0.017506622695111655,-0.00719567221868605
49,283.95729545531594,-212.0952501605881,725,0.3916652351107806,-0.29254517263529395
50,-8622.197371431617,-7559.862500256721,66616,-0.12943132838104385,-0.11348418548481928
51,-472.4479232358155,-89.67719033376156,550,-0.8589962240651191,-0.16304943697047555
52,258.0911296962891,187.16572352035644,1788,0.14434626940508338,0.10467881628655282
53,-101.02599508261339,-23.280730842994277,95,-1.063431527185404,-0.24506032466309766
54,20.33342895583801,10.074804596983684,77,0.26407050591997416,0.13084161814264525
55,-748.5196465008183,-95.50407383450548,350,-2.1386275614309094,-0.27286878238430134
56,836.9912292544656,50.721783940027144,662,1.2643372043118815,0.07661900897285068
58,6.269186834243029,0.2466126841626503,7,0.8955981191775756,0.035230383451807186
59,-2.495369082339626,-2.5405436142643647,1,-2.495369082339626,-2.5405436142643647
60,41.027559860491216,-44.97186907423343,92,0.44595173761403495,-0.4888246638503634
61,835.9618223635547,-271.7824802302981,893,0.9361274606534767,-0.3043476822287773
