date,snow,tavg,fog,thunder,haze,wind_strength
01-01,0,53.0,0,0,0,2
01-02,0,48.0,0,0,0,3
01-03,0,29.5,0,0,0,5
01-04,0,26.5,0,0,0,4
01-05,0,39.0,0,0,0,3
01-06,0,37.5,0,0,0,4
01-07,1,29.5,0,0,1,5
01-08,0,25.0,0,0,0,4
01-09,0,34.5,0,0,0,5
01-10,0,32.0,0,0,0,5
01-11,0,19.5,0,0,0,4
01-12,0,30.0,0,0,0,4
01-13,0,41.0,0,0,0,2
01-14,0,32.0,0,0,0,5
01-15,0,15.5,0,0,0,4
01-16,1,23.5,0,0,0,5
01-17,0,39.0,0,0,0,5
01-18,0,32.5,0,0,0,5
01-19,0,38.5,0,0,0,4
01-20,0,34.0,0,0,0,4
01-21,0,18.0,0,0,0,4
01-22,0,21.0,0,0,0,3
01-23,1,30.5,0,0,1,3
01-24,0,31.0,0,0,1,3
01-25,0,35.0,0,0,1,3
01-26,0,24.0,0,0,0,4
01-27,0,24.5,0,0,1,3
01-28,1,30.5,0,0,1,3
01-29,1,20.5,0,0,1,5
01-30,0,19.0,0,0,0,4
01-31,0,26.0,0,0,0,2
02-01,0,29.5,0,0,0,3
02-02,0,39.5,0,0,0,2
02-03,0,47.0,0,0,0,2
02-04,0,41.5,0,0,0,4
02-05,0,23.0,0,0,0,5
02-06,0,23.5,0,0,0,3
02-07,0,33.5,0,0,1,2
02-08,0,38.5,0,0,0,4
02-09,0,37.5,0,0,0,3
02-10,0,45.5,0,0,0,3
02-11,0,47.5,0,0,0,3
02-12,0,50.5,0,0,0,4
02-13,1,33.5,0,0,1,4
02-14,0,20.5,0,0,0,5
02-15,0,23.0,0,0,0,3
02-16,0,38.5,0,0,0,3
02-17,0,58.5,0,0,0,4
02-18,0,45.0,0,0,0,5
02-19,0,31.5,0,0,1,5
02-20,0,28.5,0,0,0,4
02-21,0,43.5,0,0,0,3
02-22,0,49.0,0,0,1,4
02-23,0,51.5,0,0,0,5
02-24,0,32.0,0,0,0,4
02-25,1,33.5,0,0,0,5
02-26,0,30.5,0,0,1,4
02-27,0,38.0,0,0,0,5
02-28,0,31.0,0,0,0,3
03-01,0,39.5,0,0,0,3
03-02,0,46.0,0,0,0,3
03-03,0,36.0,0,0,0,5
03-04,0,29.0,0,0,0,3
03-05,0,39.0,0,0,0,2
03-06,0,55.5,0,0,1,3
03-07,0,62.0,0,0,0,4
03-08,0,44.5,0,0,0,5
03-09,1,37.0,0,0,0,3
03-10,0,42.0,0,0,1,1
03-11,0,47.5,0,0,0,3
03-12,0,36.0,0,0,1,5
03-13,0,28.5,0,0,1,5
03-14,0,44.5,0,0,0,3
03-15,0,57.0,0,0,0,3
03-16,0,57.5,0,0,0,3
03-17,0,49.0,0,0,1,3
03-18,0,62.0,0,0,1,3
03-19,0,59.5,0,1,1,2
03-20,0,53.5,0,0,0,5
03-21,0,53.0,0,0,1,5
03-22,0,50.5,0,0,0,4
03-23,0,43.5,0,0,0,4
03-24,0,42.5,0,0,0,5
03-25,0,52.0,0,0,0,3
03-26,0,47.5,0,1,0,4
03-27,0,37.0,0,0,0,5
03-28,0,28.0,0,0,0,5
03-29,0,31.0,0,0,0,5
03-30,0,38.0,0,0,0,3
03-31,0,55.5,0,0,1,3
04-01,0,52.0,0,0,0,5
04-02,0,46.0,0,0,0,4
04-03,0,44.0,0,0,0,3
04-04,0,46.5,0,0,0,4
04-05,0,51.0,0,0,0,2
04-06,0,48.5,0,0,0,5
04-07,0,49.5,0,1,1,4
04-08,0,57.0,0,0,0,4
04-09,0,51.0,0,0,1,3
04-10,0,46.0,0,0,0,5
04-11,0,50.5,0,0,0,3
04-12,0,61.0,0,0,0,2
04-13,0,63.0,0,0,0,2
04-14,0,68.0,0,1,1,3
04-15,0,61.0,0,0,0,3
04-16,0,58.5,0,0,0,4
04-17,0,46.0,0,0,0,4
04-18,0,46.5,0,0,0,4
04-19,0,44.5,0,0,0,5
04-20,0,51.0,0,0,0,4
04-21,0,51.5,0,0,0,4
04-22,0,61.5,0,0,0,4
04-23,0,58.0,0,0,1,3
04-24,0,55.5,0,0,0,3
04-25,0,52.0,0,0,0,3
04-26,0,56.0,0,0,1,2
04-27,0,49.5,0,0,0,5
04-28,0,49.0,0,0,0,5
04-29,0,52.0,0,0,0,4
04-30,0,56.0,0,0,0,2
05-01,0,58.0,0,0,0,2
05-02,0,53.5,0,1,0,3
05-03,0,56.5,0,0,0,3
05-04,0,57.5,0,0,1,2
05-05,0,65.0,0,0,0,3
05-06,0,55.0,0,0,0,2
05-07,0,47.5,0,0,0,5
05-08,0,51.5,0,0,0,5
05-09,0,58.5,0,0,0,5
05-10,0,62.0,0,0,0,5
05-11,0,64.0,0,0,0,3
05-12,0,66.5,0,0,0,3
05-13,0,64.5,0,0,1,3
05-14,0,66.0,0,0,1,2
05-15,0,68.0,0,0,0,2
05-16,0,68.0,0,1,1,3
05-17,0,67.0,0,0,0,4
05-18,0,63.5,0,0,0,3
05-19,0,60.0,0,0,1,2
05-20,0,62.0,0,1,1,2
05-21,0,76.0,0,0,1,1
05-22,0,80.5,0,0,0,3
05-23,0,67.0,0,0,0,4
05-24,0,62.0,0,0,0,3
05-25,0,61.5,0,0,0,2
05-26,0,62.0,0,0,0,2
05-27,0,72.5,0,1,0,2
05-28,0,68.5,0,1,0,2
05-29,0,68.0,0,0,0,1
05-30,0,73.5,0,0,0,2
05-31,0,79.0,0,0,0,3
06-01,0,66.0,0,1,0,4
06-02,0,70.5,0,0,0,2
06-03,0,69.0,0,0,0,2
06-04,0,70.5,0,0,0,2
06-05,0,67.0,0,0,0,2
06-06,0,71.5,0,0,0,3
06-07,0,70.5,0,0,0,3
06-08,0,74.0,0,0,0,3
06-09,0,73.0,0,1,0,4
06-10,0,70.0,0,0,1,3
06-11,0,70.0,0,0,0,2
06-12,0,67.5,0,0,0,2
06-13,0,76.5,0,0,0,2
06-14,0,74.5,0,0,0,3
06-15,0,74.5,0,0,1,2
06-16,0,66.0,0,0,0,2
06-17,0,78.5,0,0,0,4
06-18,0,66.5,0,0,0,5
06-19,0,63.5,0,0,0,4
06-20,0,67.5,0,0,0,2
06-21,0,71.5,0,0,0,2
06-22,0,64.5,0,0,1,3
06-23,0,67.5,0,0,0,2
06-24,0,72.0,0,0,1,2
06-25,0,79.5,0,0,0,2
06-26,0,81.5,0,0,0,2
06-27,0,73.0,0,0,1,2
06-28,0,72.5,0,0,0,2
06-29,0,75.0,0,0,1,2
06-30,0,77.5,0,0,0,2
07-01,0,82.0,0,0,1,2
07-02,0,80.0,0,0,0,2
07-03,0,80.5,0,0,0,2
07-04,0,75.0,0,0,1,2
07-05,0,78.5,0,0,0,3
07-06,0,78.0,0,0,1,3
07-07,0,76.5,0,0,0,3
07-08,0,75.5,0,0,0,1
07-09,0,78.0,0,0,0,2
07-10,0,75.0,0,0,0,3
07-11,0,76.0,0,0,1,3
07-12,0,80.0,0,0,0,3
07-13,0,82.5,0,0,0,2
07-14,0,81.0,0,0,0,2
07-15,0,79.5,0,0,0,3
07-16,0,75.5,0,1,1,2
07-17,0,77.0,0,0,0,2
07-18,0,75.0,0,0,0,2
07-19,0,81.5,0,0,0,3
07-20,0,86.5,0,0,0,3
07-21,0,83.0,0,1,0,3
07-22,0,86.0,0,0,0,2
07-23,0,86.5,0,0,0,2
07-24,0,87.0,0,0,0,3
07-25,0,79.5,0,1,0,3
07-26,0,76.0,0,0,0,2
07-27,0,77.5,0,0,0,2
07-28,0,80.0,0,0,0,2
07-29,0,78.5,0,0,0,2
07-30,0,80.0,0,0,0,3
07-31,0,78.5,0,0,0,2
08-01,0,72.5,0,0,1,2
08-02,0,81.0,0,0,0,2
08-03,0,80.0,0,0,0,2
08-04,0,84.5,0,0,0,2
08-05,0,83.5,0,0,0,2
08-06,0,84.5,0,0,0,3
08-07,0,84.0,0,1,0,3
08-08,0,86.0,0,0,0,3
08-09,0,87.5,0,1,0,3
08-10,0,81.0,0,0,0,2
08-11,0,80.5,0,0,0,2
08-12,0,78.0,0,0,0,3
08-13,0,72.0,0,0,0,3
08-14,0,74.0,0,0,0,2
08-15,0,75.5,0,0,0,1
08-16,0,74.5,0,0,0,3
08-17,0,72.0,0,1,1,2
08-18,0,74.5,0,0,0,2
08-19,0,79.5,0,0,0,2
08-20,0,82.0,0,0,0,2
08-21,0,77.0,0,0,0,2
08-22,0,76.0,0,0,0,2
08-23,0,79.0,0,0,1,2
08-24,0,80.5,0,0,0,2
08-25,0,81.5,0,0,0,2
08-26,0,80.5,0,1,0,2
08-27,0,82.0,0,0,0,2
08-28,0,77.5,0,0,0,3
08-29,0,80.0,0,0,0,2
08-30,0,81.0,0,0,0,3
08-31,0,77.0,0,0,0,3
09-01,0,77.5,0,0,1,3
09-02,0,70.5,0,0,0,2
09-03,0,73.5,0,0,0,2
09-04,0,80.5,0,0,0,2
09-05,0,80.5,0,0,0,2
09-06,0,70.5,0,0,0,2
09-07,0,68.5,0,0,0,4
09-08,0,71.5,0,0,0,3
09-09,0,71.0,0,0,0,2
09-10,0,75.0,0,0,0,2
09-11,0,71.5,0,0,0,2
09-12,0,74.5,0,1,0,1
09-13,0,75.0,0,1,0,2
09-14,0,71.0,0,0,0,3
